county,state,asians,blacks,hispanics,whites,homeowner,households,housing_units,per_capita_income,foreign_born,pop_2020,pop_2010
Clackamas County,OR,4.9,1.2,9,81.1,71.1,157408,170724,41492,8.2,421401,375992
Clallam County,WA,1.9,1.2,6.6,82.4,70.4,32958,37728,30283,5.4,77155,71404
Clark County,ID,1.1,1.2,44.5,51.2,62.4,290,562,18860,33.1,790,982
Clark County,NV,10.4,13.1,31.6,41.7,53.8,783524,924538,30704,22.2,2265461,1951269
Clark County,WA,5,2.4,10.2,77.5,67,174661,189583,35860,10.6,503311,425363
Clatsop County,OR,1.6,0.9,8.6,85.1,62.2,15800,22774,29757,4.6,41072,37039
Clear Creek County,CO,1.2,1,7.6,87.8,77.2,4395,5847,39203,2.2,9397,9088
Clearwater County,ID,0.7,0.6,4.1,89.9,78.1,3555,4668,23412,2.1,8734,8761
Cochise County,AZ,2.3,4.5,35.7,54.8,68.9,50163,61601,26819,10.7,125447,131346
Coconino County,AZ,2.1,1.5,14.3,54.1,61,47447,67504,27339,4.4,145101,134421
Colfax County,NM,0.8,0.9,49.2,46.9,71,5853,10356,24035,3.2,12387,13750
Columbia County,OR,1.1,0.8,5.6,87.8,75.4,19671,21602,31883,2.7,52589,49351
Columbia County,WA,1.4,0.7,7.9,84.4,67.9,1795,2175,36551,7.4,3952,4078
Colusa County,CA,1.6,1.3,60.4,34.1,61,7227,8125,26932,27,21839,21419
Conejos County,CO,0.9,1,51.3,45.7,79.4,3183,4483,20640,1.8,7461,8256
Contra Costa County,CA,18.3,9.5,26,42.7,65.9,394769,418707,48178,25.4,1165927,1049025
Converse County,WY,0.5,0.7,8.4,88.4,73.7,5378,6699,33693,1.9,13751,13833
Coos County,OR,1.3,0.6,6.8,84.9,65.9,27025,31368,27582,3.4,64929,63043
Costilla County,CO,1.6,2.1,61.2,33.9,69,1746,2880,21732,9.2,3499,3524
Cowlitz County,WA,1.6,1.1,9.3,83.2,66.1,41952,45282,28876,4,110730,102410
Crook County,OR,0.7,0.5,7.6,88,72.2,9588,11196,27007,3,24738,20978
Crook County,WY,0.2,1.4,2.5,94,81.8,2919,3671,29532,1.8,7181,7083
Crowley County,CO,1.2,10.7,32.8,52.6,72.5,1301,1601,15517,3.4,5922,5823
Curry County,NM,1.8,6.9,43.4,46.5,57,18548,21493,23021,9.7,48430,48376
Curry County,OR,0.8,0.5,7.4,85.7,71.4,10546,13069,30021,3.3,23446,22364
Custer County,CO,0.5,1.6,5.8,89.7,87.2,2214,4495,29258,3.1,4704,4255
Custer County,ID,0.3,0.6,4.6,91.8,78.6,1774,3161,23805,0.6,4275,4368
Custer County,MT,0.7,0.6,3.7,91.1,68.8,4903,5702,30504,1,11867,11699
Daggett County,UT,0.5,0.2,4.4,92.2,87.1,163,1230,29574,0,935,1059
Daniels County,MT,0.2,0.4,3.2,91.8,78.4,857,1130,35133,3,1661,1751
Davis County,UT,2.1,1.4,10.2,83.2,77,104551,112482,31205,4.7,362679,306479
Dawson County,MT,0.6,0.5,3,92.2,68.3,3930,4456,31658,1.7,8940,8966
De Baca County,NM,0.5,0.9,45.9,50,62.6,672,1371,17376,1.3,1698,2022
Deer Lodge County,MT,0.5,0.5,3.7,89.7,67.8,3903,5232,26241,1.5,9421,9298
Del Norte County,CA,3.1,3.5,20.1,62,63.1,9945,11434,23674,7.6,27743,28610
Delta County,CO,0.9,0.9,15.3,81.2,73.6,11883,14912,26499,4.6,31196,30952
Denali Borough,AK,5.4,2.1,3.8,79.5,81.6,613,1765,34365,7.7,1619,1826
Denver County,CO,4.1,9.8,29.3,54.9,49.9,301501,338341,43770,15,715522,600158
Deschutes County,OR,1.3,0.6,8.3,86.8,67,74397,92795,35507,4.6,198253,157733
Dillingham Census Area,AK,0.9,0.8,3.7,14.7,62,1427,2456,25993,2.3,4857,4847
Dolores County,CO,0.3,0.4,6.3,87.8,81.6,759,1738,26323,1.2,2326,2064
Douglas County,CO,5.4,1.7,9.1,81.3,79,120709,132251,53313,7.6,357978,285465
Douglas County,NV,1.9,1,13.2,80.2,71.4,20741,24773,38814,7.4,49488,46997
Douglas County,OR,1.1,0.5,6.1,87.5,68.2,45456,50970,26478,2.9,111201,107667
Douglas County,WA,1.1,0.8,32.3,63.4,68.7,15263,17410,30544,15.3,42938,38431
Dona Ana County,NM,1.3,2.4,68.8,26.7,63.1,77842,89968,22154,17.2,219561,209233
Duchesne County,UT,0.5,0.5,8.3,84.6,75.1,6868,10532,24573,3.2,19596,18607
Eagle County,CO,1.3,1.5,29.7,67,69.8,18171,33174,44391,17.5,55731,52197
Eddy County,NM,0.9,2,50.5,45.3,69.5,21251,25089,30246,6.6,62314,53829
El Dorado County,CA,4.8,1,13.2,77.2,75.7,70974,91660,42749,9.2,191185,181058
El Paso County,CO,3.1,6.9,17.7,68.6,64,257507,280718,33728,7,730395,622263
Elbert County,CO,1.2,1.4,7.6,87.7,90,9280,9991,44690,2.7,26062,23086
